iter	Passed	Remaining
0	407	406634
1	417	208144
2	441	146805
3	450	112270
4	461	91871
5	468	77667
6	478	67861
7	488	60550
8	494	54500
9	504	49936
10	511	45957
11	521	42916
12	527	40052
13	538	37894
14	544	35762
15	553	34045
16	560	32388
17	571	31202
18	583	30127
19	592	29016
20	602	28088
21	611	27191
22	622	26444
23	633	25752
24	641	25013
25	652	24428
26	659	23779
27	670	23278
28	681	22816
29	689	22291
30	699	21857
31	706	21367
32	715	20976
33	722	20521
34	733	20221
35	740	19833
36	750	19523
37	756	19150
38	767	18918
39	774	18578
40	784	18349
41	790	18041
42	801	17831
43	811	17628
44	817	17351
45	827	17156
46	833	16905
47	844	16750
48	852	16537
49	862	16388
50	869	16180
51	879	16030
52	886	15839
53	898	15736
54	907	15600
55	914	15416
56	925	15313
57	932	15141
58	941	15023
59	948	14854
60	960	14778
61	966	14622
62	975	14509
63	981	14358
64	991	14260
65	997	14121
66	1007	14030
67	1014	13899
68	1024	13826
69	1031	13702
70	1041	13623
71	1047	13506
72	1057	13427
73	1064	13315
74	1073	13235
75	1079	13126
76	1089	13063
77	1098	12984
78	1109	12935
79	1119	12875
80	1126	12784
81	1136	12728
82	1143	12634
83	1154	12590
84	1161	12503
85	1170	12437
86	1176	12351
87	1186	12297
88	1193	12215
89	1203	12166
90	1209	12084
91	1220	12042
92	1226	11964
93	1237	11925
94	1244	11852
95	1253	11807
96	1260	11737
97	1269	11684
98	1275	11611
99	1285	11566
100	1292	11502
101	1302	11463
102	1308	11397
103	1319	11369
104	1326	11303
105	1335	11261
106	1342	11204
107	1355	11195
108	1365	11161
109	1371	11100
110	1381	11063
111	1389	11017
112	1399	10982
113	1405	10924
114	1416	10898
115	1422	10842
116	1431	10806
117	1439	10760
118	1452	10754
119	1462	10723
120	1468	10669
121	1478	10637
122	1484	10587
123	1494	10560
124	1501	10508
125	1511	10481
126	1517	10432
127	1527	10404
128	1535	10366
129	1546	10347
130	1552	10299
131	1561	10271
132	1568	10227
133	1578	10203
